nbLignes	1468
939450	302750	17.0126
939825	302750	10.2723
939900	302750	9.36677
939950	302750	8.74474
940475	302750	15.6946
940900	302750	29.0489
937975	302775	24.5175
938175	302775	26.5843
938325	302775	29.5375
938375	302775	28.8717
938400	302775	28.3538
938525	302775	25.5131
938550	302775	24.8663
938675	302775	22.9697
938975	302775	14.2424
939125	302775	12.6002
939175	302775	9.9075
939225	302775	10.5809
939700	302775	14.5485
940550	302775	18.3819
941075	302775	33.4133
941975	302775	30.2684
935375	302800	19.0195
937775	302800	18.9829
937875	302800	23.6822
938675	302800	23.239
938950	302800	15.0453
938975	302800	14.1726
939025	302800	12.7996
939650	302800	26.2912
939675	302800	16.225
941100	302800	34.8671
937100	302825	8.61278
938175	302825	30.138
938200	302825	31.4522
938275	302825	33.1861
938575	302825	26.5929
938675	302825	23.5085
939850	302825	11.4039
940775	302825	27.7507
941525	302825	34.8682
942225	302825	27.0733
942750	302825	19.9289
937575	302850	8.90736
937950	302850	28.3036
938325	302850	34.3622
938375	302850	32.936
938600	302850	26.1598
939250	302850	19.7989
939275	302850	19.8716
939550	302850	23.5438
939650	302850	19.2136
939725	302850	16.9958
939950	302850	7.69705
937500	302875	7.2496
937975	302875	29.7788
938075	302875	30.6237
938250	302875	37.1425
938325	302875	35.9614
938375	302875	34.1681
938425	302875	32.156
939050	302875	15.4229
939325	302875	22.1421
939375	302875	22.1418
939700	302875	18.8989
939875	302875	11.3661
940600	302875	21.4011
940650	302875	23.7833
940675	302875	24.8883
940700	302875	25.994
937425	302900	8.63976
938175	302900	35.7856
938525	302900	29.6561
939400	302900	23.3649
939475	302900	22.5398
939725	302900	18.8187
939750	302900	17.6989
939825	302900	14.1529
939875	302900	11.7616
940725	302900	27.7054
940800	302900	31.127
941950	302900	31.876
942050	302900	30.2862
938125	302925	33.4652
938275	302925	40.8361
938375	302925	36.2158
938475	302925	32.1501
938500	302925	31.0229
938600	302925	26.9568
939375	302925	25.3573
939675	302925	21.7524
939725	302925	19.6143
939850	302925	13.3819
940025	302925	5.00927
940100	302925	1.05063
941175	302925	38.8189
941225	302925	39.2986
945025	302925	19.8671
936350	302950	19.0794
938175	302950	43.2815
938275	302950	42.2751
938325	302950	39.8817
938350	302950	38.4053
938400	302950	35.527
938450	302950	33.6764
938525	302950	30.1182
938600	302950	27.0801
939250	302950	24.8439
939300	302950	26.5225
939925	302950	9.97609
940100	302950	1.43393
940175	302950	3.99207
940200	302950	7.25396
938050	302975	36.4309
938225	302975	44.9716
938250	302975	44.2803
939350	302975	29.6083
939450	302975	27.3987
939525	302975	31.7166
939675	302975	23.2792
939700	302975	22.1789
939725	302975	20.8464
940125	302975	0.194723
940200	302975	5.52612
940225	302975	10.5647
940575	302975	21.6274
941375	302975	44.8769
941900	302975	32.8273
936625	303000	18.0087
937500	303000	12.3621
937925	303000	24.3641
938475	303000	32.1977
938500	303000	31.1098
938525	303000	29.9432
939150	303000	21.1765
939200	303000	23.6995
939350	303000	32.1332
939700	303000	22.6189
939925	303000	10.2064
939950	303000	8.94473
