nbLignes	1468
939350	302975	44.5303
939450	302975	40.3287
939525	302975	41.9933
939675	302975	38.2385
939700	302975	37.2932
939725	302975	36.2663
940125	302975	20.6486
940200	302975	19.2706
940225	302975	17.853
940575	302975	29.2171
941375	302975	39.2588
941900	302975	27.8459
936625	303000	13.9948
937500	303000	7.06518
937925	303000	33.2231
938475	303000	29.6938
938500	303000	28.2052
938525	303000	27.0568
939150	303000	37.9474
939200	303000	40.5276
939350	303000	46.7841
939700	303000	37.5948
939925	303000	28.0809
939950	303000	27.2001
940125	303000	21.0368
940150	303000	20.6081
940200	303000	19.8891
940250	303000	15.9044
940275	303000	16.4389
941025	303000	44.5329
937850	303025	31.8293
937975	303025	38.8212
938200	303025	49.0712
938375	303025	35.543
938425	303025	32.5745
938450	303025	31.2098
938625	303025	22.0652
939025	303025	30.1011
939400	303025	51.8325
939475	303025	48.0093
939750	303025	35.3182
939875	303025	29.8558
940075	303025	23.1491
940350	303025	19.3449
940925	303025	42.8966
938225	303050	44.9215
938325	303050	38.4831
938425	303050	32.5701
939000	303050	28.5572
939275	303050	43.3097
939350	303050	50.5993
939525	303050	50.5526
939800	303050	32.821
940125	303050	20.9264
940300	303050	18.963
940450	303050	21.1953
940700	303050	32.5443
941125	303050	50.3663
938200	303075	45.3751
938600	303075	23.2489
939000	303075	28.5516
939075	303075	32.3765
939200	303075	40.0647
939225	303075	41.1287
939250	303075	41.9827
939300	303075	45.3471
939450	303075	56.7257
939525	303075	51.9128
939775	303075	33.5915
939975	303075	25.7209
940000	303075	24.9155
940025	303075	24.1434
940050	303075	23.4026
940425	303075	19.9934
940525	303075	24.1852
940800	303075	36.5079
942700	303075	16.3663
938250	303100	38.487
938275	303100	38.3677
938350	303100	35.6064
938375	303100	34.3707
938425	303100	31.9006
938500	303100	27.7485
939100	303100	34.1535
939450	303100	63.3039
939750	303100	34.1528
940025	303100	23.8089
940575	303100	25.7293
941125	303100	59.6173
937875	303125	34.0974
938175	303125	35.7978
938475	303125	28.6977
938500	303125	27.4158
939100	303125	33.6505
939275	303125	40.655
939325	303125	44.6925
939675	303125	36.0821
939775	303125	32.2988
940950	303125	42.6132
937850	303150	32.8213
937875	303150	33.7762
938450	303150	29.3317
938500	303150	26.9594
938575	303150	23.7411
938850	303150	17.8774
939150	303150	35.1594
939425	303150	50.9502
939525	303150	47.3572
939575	303150	38.6709
939625	303150	35.8035
939825	303150	29.3316
939900	303150	26.8106
940100	303150	20.5296
940400	303150	20.397
940925	303150	40.4718
940975	303150	41.9408
937725	303175	25.7915
938075	303175	35.1993
938125	303175	19.9129
938250	303175	32.14
938325	303175	32.273
938400	303175	30.234
938775	303175	19.0936
939125	303175	33.0777
939700	303175	32.7594
939775	303175	30.335
940275	303175	20.7338
940325	303175	21.1017
940800	303175	32.6415
940975	303175	40.5604
938000	303200	34.2016
938200	303200	27.1404
938300	303200	30.6482
938325	303200	30.475
938750	303200	19.5423
939275	303200	34.6855
939300	303200	33.9187
939400	303200	42.3737
939675	303200	31.5275
939900	303200	25.3173
939950	303200	23.8764
939975	303200	23.1859
940275	303200	20.5316
940600	303200	21.7829
941050	303200	39.8947
937700	303225	23.3703
938550	303225	23.4209
938750	303225	19.3292
938975	303225	16.0327
939200	303225	32.3112
939450	303225	45.1655
939500	303225	45.1681
940125	303225	14.8937
940275	303225	20.3002
940375	303225	21.1685
937700	303250	22.9674
937800	303250	27.9802
938150	303250	18.4648
938200	303250	22.9688
938300	303250	26.649
938400	303250	26.2596
938425	303250	26.0257
938500	303250	24.5341
938525	303250	23.8764
938550	303250	22.7402
938725	303250	19.3964
938850	303250	17.4445
939400	303250	39.2048
939475	303250	43.1873
939725	303250	29.9997
939750	303250	28.9816
939925	303250	21.9702
940200	303250	18.8437
940225	303250	19.2839
940400	303250	21.0349
940625	303250	19.3643
940850	303250	29.4184
941525	303250	33.8045
937825	303275	27.695
938450	303275	26.8757
938500	303275	25.6711
938875	303275	16.7846
939150	303275	28.0902
939175	303275	28.3954
939225	303275	22.4224
939375	303275	35.5684
939625	303275	34.976
940000	303275	19.9074
940050	303275	17.9215
941625	303275	31.2836
938200	303300	18.9301
938250	303300	27.2351
938450	303300	27.7978
938600	303300	22.8928
938700	303300	19.6212
938775	303300	17.9813
939300	303300	28.1464
939325	303300	30.3792
939425	303300	37.506
939650	303300	33.4161
939975	303300	20.9621
940000	303300	20.1524
940200	303300	17.8666
940225	303300	18.2793
940475	303300	20.5157
940900	303300	25.7492
941250	303300	34.4552
938050	303325	25.9007
938275	303325	28.7882
938900	303325	15.9404
939175	303325	20.721
939475	303325	37.2526
939775	303325	28.7888
939825	303325	26.8157
940000	303325	20.0095
940175	303325	16.8776
940275	303325	18.6435
940350	303325	19.9324
938425	303350	30.427
938700	303350	20.1153
939550	303350	35.358
939775	303350	28.8335
940075	303350	16.5668
940475	303350	19.8738
937650	303375	13.3836
938500	303375	29.397
938750	303375	18.1365
938875	303375	28.8002
940050	303375	16.7682
941000	303375	14.4748
937975	303400	23.1661
938475	303400	31.0764
938750	303400	17.9422
939275	303400	27.0382
940050	303400	16.355
940125	303400	15.0714
940200	303400	15.3487
940425	303400	18.6386
937900	303425	21.6139
938450	303425	33.2013
938800	303425	28.8976
938975	303425	31.9367
939100	303425	28.9947
939500	303425	33.5013
939700	303425	30.6534
940025	303425	17.4992
940225	303425	15.1729
940325	303425	16.8586
941425	303425	25.6664
937875	303450	19.9864
938025	303450	17.9018
938275	303450	34.8803
938400	303450	36.3076
938850	303450	31.9498
938875	303450	32.7428
939175	303450	26.8219
939575	303450	32.5128
939625	303450	31.8129
939875	303450	24.6084
940250	303450	14.7789
940325	303450	16.0716
941725	303450	24.7984
937800	303475	15.1131
937825	303475	14.85
938400	303475	37.967
938425	303475	36.7817
938500	303475	32.1773
938875	303475	34.1779
939000	303475	34.0566
939025	303475	33.6356
939100	303475	30.9087
940675	303475	14.0963
938200	303500	24.2331
938225	303500	33.7913
938275	303500	37.9859
938400	303500	39.4734
938425	303500	38.0527
938475	303500	34.4652
938550	303500	28.553
938825	303500	33.6188
939025	303500	34.7223
939125	303500	30.6133
939825	303500	26.2847
940000	303500	17.2878
940325	303500	14.2758
940600	303500	15.6351
942325	303500	15.0926
938350	303525	42.7028
938450	303525	36.9779
938475	303525	34.7595
938525	303525	30.3379
938900	303525	37.5328
939425	303525	29.3999
939575	303525	30.2681
939725	303525	28.2927
939925	303525	21.1809
940175	303525	11.1875
940275	303525	12.3922
940300	303525	12.6443
940700	303525	12.718
941375	303525	18.6508
939175	303550	28.9468
939375	303550	18.0402
940250	303550	11.1579
940400	303550	13.4207
941475	303550	16.7683
937825	303575	14.4957
938300	303575	45.0963
938775	303575	33.9038
939025	303575	38.4282
939150	303575	30.8948
939500	303575	28.707
939700	303575	27.6343
940175	303575	9.7071
940300	303575	10.5745
940675	303575	11.9069
935525	303600	18.3233
938350	303600	53.7115
938475	303600	32.3649
938500	303600	29.7454
938850	303600	39.9781
939025	303600	39.3812
939675	303600	27.4379
940125	303600	8.54677
940275	303600	9.53004
938225	303625	42.4168
938375	303625	54.7963
938450	303625	36.5065
938800	303625	37.1317
938925	303625	42.6978
940125	303625	7.61209
940300	303625	8.63874
940350	303625	8.94464
940450	303625	10.0603
937800	303650	18.8136
938800	303650	37.047
938825	303650	38.7528
939000	303650	41.0879
940525	303650	1.85346
941750	303650	14.1216
942225	303650	14.1526
938825	303675	38.4699
939425	303675	9.8755
939550	303675	10.1652
939750	303675	25.0445
940225	303675	6.04887
940275	303675	6.08117
940750	303675	3.5512
937700	303700	20.4241
938275	303700	54.712
938350	303700	58.6021
938750	303700	17.0816
939125	303700	34.3383
939175	303700	32.2215
939500	303700	10.3482
939550	303700	10.5197
939750	303700	7.97808
940200	303700	4.37423
939100	303725	37.0423
939200	303725	32.0641
939750	303725	10.8963
940400	303725	4.60737
937775	303750	21.6462
937875	303750	22.536
938975	303750	48.1693
939000	303750	46.2163
939050	303750	41.9682
939075	303750	40.0586
939475	303750	11.0898
939725	303750	11.2625
940275	303750	1.55066
938550	303775	36.3523
938925	303775	56.455
938950	303775	55.8505
938325	303800	40.6998
939300	303800	30.0096
939400	303800	11.677
939550	303800	11.9617
938600	303825	32.8134
939025	303825	45.5343
939075	303825	41.1168
939400	303825	27.786
939600	303825	12.386
940350	303825	7.10569
940750	303825	-0.183661
939175	303850	34.3151
940375	303850	7.88116
939400	303875	27.7125
939950	303875	11.4637
939975	303875	11.3361
940775	303875	-1.99262
938650	303900	28.7387
939300	303900	29.721
938100	303925	31.1701
938750	303925	36.956
939725	303925	13.2683
940425	303925	4.98882
938150	303950	32.0727
938825	303950	40.9812
938875	303950	41.9565
939000	303950	37.8739
939350	303950	28.0705
938425	303975	28.9139
939250	303975	29.3404
939300	303975	28.5618
939375	303975	12.9085
937775	304000	14.3722
937975	304000	23.0984
938200	304000	30.4679
938525	304000	28.2051
938700	304000	32.6472
938750	304000	35.8622
939200	304000	29.1708
939325	304000	27.6718
939525	304000	11.5405
939850	304000	13.116
940500	304000	7.55938
938300	304025	21.7812
938525	304025	27.1253
938900	304025	39.0256
938925	304025	38.6873
938950	304025	38.0351
939425	304025	12.4749
937950	304050	21.2159
938700	304050	31.4247
939175	304050	27.6062
939450	304050	12.1193
939875	304050	13.4538
943400	304050	39.8455
937425	304075	19.2934
938125	304075	26.3249
938400	304075	23.331
938525	304075	25.0842
939025	304075	32.6949
939250	304075	26.6223
939425	304075	12.4786
940025	304075	12.7844
938775	304100	32.7178
938800	304100	33.4302
938825	304100	33.9842
938975	304100	33.304
939000	304100	32.4625
939325	304100	13.0522
939425	304100	12.174
937750	304125	14.7174
938075	304125	23.9587
938725	304125	29.9853
939000	304125	31.3001
939275	304125	13.754
939775	304125	15.0872
938100	304150	23.0991
938850	304150	31.6834
938975	304150	30.8404
939350	304150	12.8579
938300	304175	22.06
938525	304175	21.462
938800	304175	29.8494
938825	304175	30.4406
938900	304175	30.7006
939250	304175	13.9188
938425	304200	22.962
938450	304200	22.8096
938775	304200	19.9262
939125	304200	15.6239
939175	304200	14.8811
939675	304200	16.5531
939825	304200	15.2479
937225	304250	14.1427
937600	304250	7.1207
938750	304250	19.079
938800	304250	18.6354
939150	304250	14.8459
939725	304250	16.3023
940200	304250	11.4806
937225	304275	12.4345
939650	304275	17.4511
939975	304275	14.1437
936975	304300	16.6692
938275	304300	25.0851
938850	304300	17.5302
939050	304300	15.6401
939675	304300	17.1292
937275	304325	11.6011
937500	304325	7.68041
937725	304325	9.9315
939025	304325	15.628
939250	304325	13.556
939600	304325	18.6596
940125	304325	13.2288
940150	304325	12.8308
941750	304325	6.38957
937250	304350	12.0557
937950	304350	20.1729
939550	304375	10.4122
939675	304375	18.2932
940000	304375	14.3042
938000	304400	21.8613
938725	304400	22.6313
939200	304400	13.4876
937950	304425	21.0561
